Attempt;Connect;Waiting;Processing;Total;
1;73.5;22.5;25.4;83.3;
2;242.3;22.2;22.6;243.6;
3;32.4;32.2;32.6;61.6;
4;11.1;5.8;5.9;14.7;
5;29.0;22.2;22.3;42.8;
6;74.9;32.0;32.5;87.4;
7;74.3;7.2;49.7;90.0;
8;58.7;31.7;32.0;77.2;
9;89.6;36.4;77.2;119.3;
10;92.1;74.7;177.0;206.8;
11;76.2;29.9;32.1;89.7;
12;31.3;28.9;34.0;59.9;
13;146.7;21.2;55.9;156.0;
14;58.2;31.5;31.6;76.0;
15;6.4;7.0;13.7;17.8;
16;152.4;38.8;90.2;179.9;
17;89.7;28.7;60.3;111.2;
18;90.1;28.9;29.2;100.2;
19;30.7;28.1;30.4;56.4;
20;47.9;5.9;5.9;49.2;
21;75.3;34.0;88.9;124.5;
22;30.6;29.7;29.9;60.1;
23;31.4;23.4;23.6;52.1;
24;75.2;28.3;62.7;105.9;
25;267.8;25.4;28.0;266.5;
26;29.7;31.3;31.6;54.3;
27;74.6;22.5;25.6;83.3;
28;38.6;23.3;89.5;100.9;
29;5.0;5.3;5.3;10.1;
30;59.1;25.0;61.6;93.9;
31;22.5;6.3;6.5;25.7;
32;5.2;5.7;5.6;10.3;
33;21.7;6.9;7.1;25.4;
34;53.8;21.6;21.7;64.2;
35;7.6;6.7;6.8;14.1;
36;6.8;6.9;7.0;13.6;
37;6.2;6.9;7.1;13.1;
38;22.9;28.8;28.8;36.2;
39;8.5;6.4;14.0;18.8;
40;23.1;23.0;23.3;40.3;
41;6.2;6.4;17.8;20.9;
42;28.7;23.1;25.7;39.5;
43;70.2;6.8;13.9;72.0;
44;20.9;6.3;6.4;24.1;
45;73.1;6.6;13.7;75.4;
46;122.6;6.1;13.8;123.8;
47;5.3;12.1;16.7;19.2;
48;21.3;32.1;63.5;72.5;
49;56.6;29.7;62.9;90.6;
50;21.1;22.2;22.5;43.5;
51;143.8;8.5;8.7;145.2;
52;21.3;7.5;14.3;27.8;
53;5.8;5.9;5.9;11.5;
54;221.2;5.9;6.0;221.6;
55;74.2;34.6;39.0;89.2;
56;4.9;12.9;16.9;18.8;
57;30.7;29.0;29.2;59.1;
58;6.4;6.0;13.3;16.8;
59;21.2;8.1;8.2;25.5;
60;27.5;21.9;22.0;47.0;
61;21.2;6.9;13.8;27.0;
62;21.7;24.1;24.1;38.7;
63;90.2;29.2;64.0;115.9;
64;7.6;7.1;7.2;14.7;
65;22.5;56.8;56.9;79.2;
66;57.3;33.8;102.9;125.2;
67;29.8;32.8;33.1;59.0;
68;22.9;6.4;6.6;26.4;
69;75.1;22.7;26.4;84.7;
70;76.5;37.0;87.6;124.0;
71;70.1;6.1;6.2;70.7;
72;21.9;23.8;61.8;74.6;
73;6.0;7.1;7.2;12.8;
74;28.0;32.3;81.7;96.3;
75;28.0;28.0;107.2;113.9;
76;75.6;23.5;23.7;83.1;
77;3.5;1.9;2.0;4.6;
78;21.9;10.2;16.3;34.2;
79;4.9;5.2;5.2;9.9;
80;66.9;32.8;33.0;88.3;
81;7.5;6.7;6.7;13.6;
82;6.4;6.1;6.0;11.9;
83;26.8;28.0;30.0;49.5;
84;100.9;7.0;7.1;101.4;
85;28.2;31.8;64.3;82.8;
86;58.8;33.0;113.2;135.3;
87;58.8;27.1;29.2;74.9;
88;31.6;29.3;85.3;100.6;
89;7.1;6.1;6.1;12.6;
90;20.1;6.5;6.5;23.3;
91;5.9;5.9;12.2;15.5;
92;31.6;31.8;32.7;60.7;
93;57.9;28.1;65.6;95.1;
94;5.1;5.8;23.0;24.3;
95;58.7;31.2;31.4;74.9;
96;22.1;22.6;26.1;46.7;
97;30.4;32.2;32.5;62.9;
98;32.4;32.8;65.3;84.6;
99;23.6;28.3;63.9;72.0;
100;114.4;34.0;34.2;123.8;
